C1,C2,C3,C4,Prediction,CI_Lo,CI_Hi,Lifetime,Channel,Barcode,,
6,4.4,4.8,4.328,603,462,786,NaN,1,1.51E+11,X,0
5.2,4.4,5.2,4.516,607,455,809,NaN,2,1.51E+11,X,0
6,5.2,5.2,3.545,682,491,947,NaN,3,1.51E+11,X,0
5.2,6,5.2,3.545,669,511,876,NaN,4,1.51E+11,X,0
5.2,6,4.4,4.047,501,370,679,NaN,5,1.51E+11,X,0
4.8,5.6,4.4,4.563,850,618,1168,NaN,6,1.51E+11,X,0
4.8,5.2,4.8,4.457,566,414,773,NaN,7,1.51E+11,X,0
5.6,5.2,5.6,3.523,555,419,736,NaN,8,1.51E+11,X,0
4.4,5.6,5.2,4.252,1027,759,1389,NaN,9,1.51E+11,,1
4.4,5.2,5.6,4.252,1019,748,1390,NaN,10,1.51E+11,,1
4.4,6,5.6,3.834,809,596,1100,NaN,11,1.51E+11,,1
5.6,6,5.2,3.381,526,394,704,NaN,12,1.51E+11,X,0
4.4,5.6,4.8,4.563,1046,678,1614,NaN,13,1.51E+11,,1
6,4.8,5.6,3.574,961,654,1413,NaN,14,1.51E+11,,1
5.2,5.2,4.4,4.516,1047,753,1457,NaN,15,1.51E+11,,1
5.6,4.8,5.6,3.733,675,508,897,NaN,16,1.51E+11,X,0
5.2,7,4.4,3.691,469,350,628,NaN,17,1.51E+11,X,0
4.8,7,4,4.308,492,356,680,NaN,18,1.51E+11,X,0
5.6,6,4,4.2,533,389,731,NaN,19,1.51E+11,X,0
6,5.6,4.4,3.834,467,344,633,NaN,20,1.51E+11,X,0
6,5.6,4.8,3.574,606,452,813,NaN,21,1.51E+11,X,0
6,7,4.4,3.372,422,308,579,NaN,22,1.51E+11,X,0
4.4,7,5.2,3.691,481,358,646,NaN,23,1.51E+11,X,0
6,5.6,4,4.2,550,405,748,NaN,24,1.51E+11,,1
8,4.8,4.8,3.429,781,563,1082,NaN,25,1.51E+11,,1
3.6,7,5.6,4.271,649,489,862,NaN,26,1.51E+11,X,0
4.4,4.8,5.6,4.563,999,734,1359,NaN,27,1.51E+11,X,0
4.4,6,4.4,4.714,889,654,1209,NaN,28,1.51E+11,,1
4,5.6,5.2,4.707,874,647,1181,NaN,29,1.51E+11,X,0
5.2,7,3.6,4.537,899,653,1238,NaN,30,1.51E+11,,1
4,6,5.6,4.2,882,644,1209,NaN,31,1.51E+11,,1
5.2,5.6,4,4.707,606,460,799,NaN,32,1.51E+11,X,0
6,6,4.8,3.429,772,573,1040,NaN,33,1.51E+11,,1
6,5.6,5.2,3.381,595,440,804,NaN,34,1.51E+11,X,0
4.8,7,4.8,3.652,523,390,700,NaN,35,1.51E+11,X,0
5.2,6,5.6,3.381,670,485,927,NaN,36,1.51E+11,,1
6,4,4.8,4.8,546,391,761,NaN,37,1.51E+11,,1
8,4,4,4.8,471,350,634,NaN,38,1.51E+11,X,0
6,4.4,4.4,4.714,555,404,762,NaN,39,1.51E+11,X,0
8,4.8,5.6,3.111,464,346,623,NaN,40,1.51E+11,X,0
5.6,7,4.8,3.294,755,558,1022,NaN,41,1.51E+11,,1
8,5.2,4.4,3.463,558,413,753,NaN,42,1.51E+11,,1
8,5.6,4,3.574,3,0,171,NaN,43,1.51E+11,X,0
8,4.8,3.6,4.5,705,506,982,NaN,44,1.51E+11,,1
8,4,5.2,3.759,730,504,1060,NaN,45,1.51E+11,,1
4,5.6,5.6,4.421,148,28,777,NaN,46,1.51E+11,X,0
8,4,4.8,4,944,664,1341,NaN,47,1.51E+11,,1
5.6,7,5.2,3.129,702,520,948,NaN,48,1.51E+11,,1
,,,,,,,,,,Not affected=,20
