Data_Point,Test_Time,DateTime,Step_Time,Step_Index,Cycle_Index,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,Temperature,Aux_Voltage
0,10.0005,1547860981.4571,10.0005,0,0,0.0,3.3965945,0.0,0.0,0.0,0.0,5.2452087e-05,,,
1,20.0001,1547860991.4567,20.0001,0,0,0.0,3.396585,0.0,0.0,0.0,0.0,-1.6212463e-05,,29.69550462517501,
2,30.0028,1547861001.4594,30.0028,0,0,0.0,3.3966517,0.0,0.0,0.0,0.0,-2.8610229e-06,,29.68655,
3,40.0019,1547861011.4585,40.0019,0,0,0.0,3.3965945,0.0,0.0,0.0,0.0,2.3841858e-05,,29.74733439210137,
4,50.0015,1547861021.4581,50.0015,0,0,0.0,3.3966241,0.0,0.0,0.0,0.0,-9.5367432e-07,,29.66606581273251,
5,60.0035,1547861031.4601,60.0035,0,0,0.0,3.3965793,0.0,0.0,0.0,0.0,-2.1934509e-05,,29.719995,
6,60.0061,1547861031.4627,60.0061,0,0,0.0,3.3965821,0.0,0.0,0.0,0.0,-2.1934509e-05,,29.718750991701246,
7,60.0758,1547861031.5324,0.0081,1,0,-1.0991907,3.3759542,1.5454141e-05,0.0,5.2493353e-05,0.0,-2.1934509e-05,,29.685402,
8,60.1303,1547861031.5869,0.0626,1,0,-1.1001062,3.3749318,1.5454141e-05,0.0,5.2493353e-05,0.0,-2.1934509e-05,,29.685459006311994,
9,60.1958,1547861031.6524,0.1281,1,0,-1.1000938,3.3738999,1.5454141e-05,0.0,5.2493353e-05,0.0,-2.1934509e-05,,29.68552751848512,
10,60.2863,1547861031.7429,0.2186,1,0,-1.1001129,3.3728957,1.5454141e-05,0.0,5.2493353e-05,0.0,-2.1934509e-05,,29.68562218034265,
11,60.4408,1547861031.8974,0.3731,1,0,-1.0999393,3.371881,1.5454141e-05,0.0,5.2493353e-05,0.0,-2.1934509e-05,,29.685783785392246,
12,60.6464,1547861032.103,0.5787,1,0,-1.1001606,3.3708692,1.5454141e-05,0.00017335213,5.2493353e-05,0.00058466318,-0.025532722,,29.685998840396753,
