sim mode,gamma,epsilon,beta,seed,mean lifetime
lo,0.01,0.7,3.54107,0,933
lo,0.01,0.7,3.54107,1,917
lo,0.01,0.7,3.54107,2,926
lo,0.01,0.7,3.54107,3,938
lo,0.01,0.7,3.54107,4,927
lo,0.01,0.7,3.54107,5,933
lo,0.01,0.7,3.54107,6,927
lo,0.01,0.7,3.54107,7,938
lo,0.01,0.7,3.54107,8,954
lo,0.01,0.7,3.54107,9,933
lo,0.01,0.75,1.77588,0,926
lo,0.01,0.75,1.77588,1,917
lo,0.01,0.75,1.77588,2,917
lo,0.01,0.75,1.77588,3,938
lo,0.01,0.75,1.77588,4,927
lo,0.01,0.75,1.77588,5,933
lo,0.01,0.75,1.77588,6,926
lo,0.01,0.75,1.77588,7,944
lo,0.01,0.75,1.77588,8,954
lo,0.01,0.75,1.77588,9,926
lo,0.01,0.8,0.93135,0,926
lo,0.01,0.8,0.93135,1,917
lo,0.01,0.8,0.93135,2,917
lo,0.01,0.8,0.93135,3,938
lo,0.01,0.8,0.93135,4,926
lo,0.01,0.8,0.93135,5,933
lo,0.01,0.8,0.93135,6,926
lo,0.01,0.8,0.93135,7,943
lo,0.01,0.8,0.93135,8,958
lo,0.01,0.8,0.93135,9,933
lo,0.01,0.85,0.50794,0,927
lo,0.01,0.85,0.50794,1,917
lo,0.01,0.85,0.50794,2,933
lo,0.01,0.85,0.50794,3,938
lo,0.01,0.85,0.50794,4,926
lo,0.01,0.85,0.50794,5,933
lo,0.01,0.85,0.50794,6,926
lo,0.01,0.85,0.50794,7,930
lo,0.01,0.85,0.50794,8,958
lo,0.01,0.85,0.50794,9,933
lo,0.01,0.9,0.2868,0,933
lo,0.01,0.9,0.2868,1,916
lo,0.01,0.9,0.2868,2,944
lo,0.01,0.9,0.2868,3,936
lo,0.01,0.9,0.2868,4,926
lo,0.01,0.9,0.2868,5,933
lo,0.01,0.9,0.2868,6,926
lo,0.01,0.9,0.2868,7,944
lo,0.01,0.9,0.2868,8,951
lo,0.01,0.9,0.2868,9,933
lo,0.1,0.7,3.54107,0,940
