C1,C2,C3,C4,Lifetime
3.6,6,5.6,4.755,922
3.6,7,5.2,4.537,911
3.6,7,5.6,4.271,910
4,5.2,5.6,4.707,932
4,5.6,5.2,4.707,934
4,5.6,5.6,4.421,930
4,6,4.8,4.8,938
4,6,5.2,4.457,932
4,6,5.6,4.2,922
4,7,4.4,4.69,918
4,7,4.8,4.308,915
4,7,5.2,4.03,911
4,7,5.6,3.818,909
4.4,4.8,5.6,4.563,938
4.4,5.2,5.2,4.516,944
4.4,5.2,5.6,4.252,939
4.4,5.6,4.8,4.563,951
4.4,5.6,5.2,4.252,941
4.4,5.6,5.6,4.017,927
4.4,6,4.4,4.714,947
4.4,6,4.8,4.328,940
4.4,6,5.2,4.047,929
4.4,6,5.6,3.834,926
4.4,7,4,4.69,936
4.4,7,4.4,4.239,930
4.4,7,4.8,3.924,925
4.4,7,5.2,3.691,917
4.4,7,5.6,3.513,915
4.8,4.4,5.6,4.563,938
4.8,4.8,5.2,4.457,950
4.8,4.8,5.6,4.2,934
4.8,5.2,4.8,4.457,952
4.8,5.2,5.2,4.16,939
4.8,5.2,5.6,3.935,936
4.8,5.6,4.4,4.563,959
4.8,5.6,4.8,4.2,945
4.8,5.6,5.2,3.935,937
4.8,5.6,5.6,3.733,924
4.8,6,4,4.8,950
4.8,6,4.4,4.328,943
4.8,6,4.8,4,937
4.8,6,5.2,3.759,926
4.8,6,5.6,3.574,923
4.8,7,4,4.308,933
4.8,7,4.4,3.924,927
4.8,7,4.8,3.652,918
4.8,7,5.2,3.45,915
4.8,7,5.6,3.294,909
5.2,4,5.6,4.707,939
5.2,4.4,5.2,4.516,951
5.2,4.4,5.6,4.252,946
5.2,4.8,4.8,4.457,956
5.2,4.8,5.2,4.16,942
5.2,4.8,5.6,3.935,938
5.2,5.2,4.4,4.516,958
5.2,5.2,4.8,4.16,945
5.2,5.2,5.2,3.9,937
5.2,5.2,5.6,3.702,923
5.2,5.6,4,4.707,951
5.2,5.6,4.4,4.252,942
5.2,5.6,4.8,3.935,936
5.2,5.6,5.2,3.702,924
5.2,5.6,5.6,3.523,922
5.2,6,4,4.457,948
5.2,6,4.4,4.047,938
5.2,6,4.8,3.759,929
5.2,6,5.2,3.545,924
5.2,6,5.6,3.381,914
5.2,7,3.6,4.537,920
5.2,7,4,4.03,916
5.2,7,4.4,3.691,912
5.2,7,4.8,3.45,910
