C1,C2,C3,C4,Lifetime
3.6,6,5.6,4.755,962
3.6,7,5.2,4.537,945
3.6,7,5.6,4.271,941
4,5.2,5.6,4.707,972
4,5.6,5.2,4.707,971
4,5.6,5.6,4.421,966
4,6,4.8,4.8,974
4,6,5.2,4.457,967
4,6,5.6,4.2,957
4,7,4.4,4.69,951
4,7,4.8,4.308,946
4,7,5.2,4.03,940
4,7,5.6,3.818,937
4.4,4.8,5.6,4.563,975
4.4,5.2,5.2,4.516,977
4.4,5.2,5.6,4.252,972
4.4,5.6,4.8,4.563,979
4.4,5.6,5.2,4.252,971
4.4,5.6,5.6,4.017,960
4.4,6,4.4,4.714,976
4.4,6,4.8,4.328,969
4.4,6,5.2,4.047,960
4.4,6,5.6,3.834,956
4.4,7,4,4.69,965
4.4,7,4.4,4.239,958
4.4,7,4.8,3.924,953
4.4,7,5.2,3.691,945
4.4,7,5.6,3.513,943
4.8,4.4,5.6,4.563,975
4.8,4.8,5.2,4.457,978
4.8,4.8,5.6,4.2,967
4.8,5.2,4.8,4.457,978
4.8,5.2,5.2,4.16,968
4.8,5.2,5.6,3.935,964
4.8,5.6,4.4,4.563,980
4.8,5.6,4.8,4.2,970
4.8,5.6,5.2,3.935,964
4.8,5.6,5.6,3.733,953
4.8,6,4,4.8,975
4.8,6,4.4,4.328,968
4.8,6,4.8,4,962
4.8,6,5.2,3.759,953
4.8,6,5.6,3.574,950
4.8,7,4,4.308,958
4.8,7,4.4,3.924,952
4.8,7,4.8,3.652,945
4.8,7,5.2,3.45,941
4.8,7,5.6,3.294,933
5.2,4,5.6,4.707,977
5.2,4.4,5.2,4.516,981
5.2,4.4,5.6,4.252,975
5.2,4.8,4.8,4.457,980
5.2,4.8,5.2,4.16,970
5.2,4.8,5.6,3.935,965
5.2,5.2,4.4,4.516,979
5.2,5.2,4.8,4.16,969
5.2,5.2,5.2,3.9,963
5.2,5.2,5.6,3.702,952
5.2,5.6,4,4.707,974
5.2,5.6,4.4,4.252,966
5.2,5.6,4.8,3.935,960
5.2,5.6,5.2,3.702,952
5.2,5.6,5.6,3.523,949
5.2,6,4,4.457,969
5.2,6,4.4,4.047,961
5.2,6,4.8,3.759,954
5.2,6,5.2,3.545,949
5.2,6,5.6,3.381,941
5.2,7,3.6,4.537,946
5.2,7,4,4.03,941
5.2,7,4.4,3.691,937
5.2,7,4.8,3.45,933
5.2,7,5.2,3.269,932
5.2,7,5.6,3.129,927
5.6,4,5.2,4.707,978
5.6,4,5.6,4.421,973
5.6,4.4,4.8,4.563,977
5.6,4.4,5.2,4.252,969
5.6,4.4,5.6,4.017,958
5.6,4.8,4.4,4.563,978
5.6,4.8,4.8,4.2,969
5.6,4.8,5.2,3.935,962
5.6,4.8,5.6,3.733,952
5.6,5.2,4,4.707,975
5.6,5.2,4.4,4.252,967
5.6,5.2,4.8,3.935,962
5.6,5.2,5.2,3.702,953
5.6,5.2,5.6,3.523,950
5.6,5.6,4,4.421,970
5.6,5.6,4.4,4.017,962
5.6,5.6,4.8,3.733,954
5.6,5.6,5.2,3.523,950
5.6,5.6,5.6,3.36,941
5.6,6,3.6,4.755,965
5.6,6,4,4.2,959
5.6,6,4.4,3.834,953
5.6,6,4.8,3.574,948
5.6,6,5.2,3.381,941
5.6,6,5.6,3.231,939
5.6,7,3.6,4.271,950
5.6,7,4,3.818,945
5.6,7,4.4,3.513,940
5.6,7,4.8,3.294,934
5.6,7,5.2,3.129,931
5.6,7,5.6,3,930
6,3.6,5.6,4.755,971
6,4,4.8,4.8,982
6,4,5.2,4.457,974
6,4,5.6,4.2,963
6,4.4,4.4,4.714,982
6,4.4,4.8,4.328,975
6,4.4,5.2,4.047,965
6,4.4,5.6,3.834,961
6,4.8,4,4.8,979
6,4.8,4.4,4.328,972
6,4.8,4.8,4,966
6,4.8,5.2,3.759,957
6,4.8,5.6,3.574,954
6,5.2,4,4.457,971
6,5.2,4.4,4.047,964
6,5.2,4.8,3.759,956
6,5.2,5.2,3.545,951
6,5.2,5.6,3.381,942
6,5.6,3.6,4.755,966
6,5.6,4,4.2,960
6,5.6,4.4,3.834,954
6,5.6,4.8,3.574,949
6,5.6,5.2,3.381,942
6,5.6,5.6,3.231,940
6,6,3.6,4.5,963
6,6,4,4,957
6,6,4.4,3.667,949
6,6,4.8,3.429,944
6,6,5.2,3.25,940
6,6,5.6,3.111,933
6,7,3.6,4.065,937
6,7,4,3.652,933
6,7,4.4,3.372,930
6,7,4.8,3.17,927
6,7,5.2,3.017,923
6,7,5.6,2.897,922
8,3.6,4.8,4.5,948
8,3.6,5.2,4.197,943
8,3.6,5.6,3.969,940
8,4,4,4.8,951
8,4,4.4,4.328,947
8,4,4.8,4,943
8,4,5.2,3.759,937
8,4,5.6,3.574,935
8,4.4,4,4.328,945
8,4.4,4.4,3.94,941
8,4.4,4.8,3.667,936
8,4.4,5.2,3.463,933
8,4.4,5.6,3.306,927
8,4.8,3.6,4.5,945
8,4.8,4,4,941
8,4.8,4.4,3.667,936
8,4.8,4.8,3.429,932
8,4.8,5.2,3.25,929
8,4.8,5.6,3.111,924
8,5.2,3.6,4.197,939
8,5.2,4,3.759,935
8,5.2,4.4,3.463,931
8,5.2,4.8,3.25,929
8,5.2,5.2,3.089,924
8,5.2,5.6,2.963,923
8,5.6,3.6,3.969,936
8,5.6,4,3.574,933
8,5.6,4.4,3.306,928
8,5.6,4.8,3.111,925
8,5.6,5.2,2.963,923
8,5.6,5.6,2.847,919
8,6,3.6,3.789,930
8,6,4,3.429,927
8,6,4.4,3.181,925
8,6,4.8,3,923
8,6,5.2,2.862,919
